NaN,2.9884,1.495,3.0335,6.1248,9.6314,5.0948,3.7189,7.4086,5.1626,8.9021,7.7527,11.299,12.553,11.483,11.681,8.7364,10.718,6.6789,9.2147,10.947,10.675,11.999,10.672,12.501,13.463,11.86,15.934,13.331,10.52,11.713,12.727,16.375,15.72,14.889,15.583,14.705,18.014,16.117,7.771,11.132,14.982,16.551,16.399,10.505,14.183,14.658,12.48,11.434,15.797,15.237,12.047,10.987,14.199,17.249,16.709,14.51,16.958,17.089,13.372,15.671,16.869,16.446,16.174,17.759,17.984,15.927,18.046,20.013,18.57,19.606,15.115,13.766,13.715,10.542,12.812,14.79,14.153,13.507,16.832,12.434,13.368,13.237,11.957,13.933,11.423,8.7913,7.0922,6.4086,4.4357,7.4194,9.0533,10.16,11.861,14.937,10.554,9.1409,7.8459,16.018,12.647,11.13,8.7775,7.4867,5.2972,11.644,7.7704,5.4578,2.5324,10.507,12.569,14.002,12.833,11.597,9.1648,6.8998,7.8092,15.042,17.666,17.544,17.573,16.486,19.437,15.024,11.947,8.8377,8.5764,12.765,12.65,14.093,13.527,14.629,12.805,14.15,15.066,17.072,19.913,14.346,15.484,17.071,17.597,18.44,19.876,22.059,18.151,17.884,18.056,15.585,10.27,11.744,13.858,15.411,15.879,14.011,16.826,18.553,25.15,24.412,24.738,21.513,21.427,21.395,21.889,24.209,22.225,16.241,22.254,20.425,19.828,20.489,18.924,15.389,20.687,20.199,23.205,17.959,19.899,19.186,18.149,18.651,18.668,19.931,14.946,13.606,15.337,15.625,18.482,18.72,18.133,19.407,16.568,17.924,18.344,19.509,24.103,24.068,19.315,20.977,19.713,17.689,16.526,17.919,21.066,19.372,21.123,23.429,22.291,20.745,24.82,22.198,24.114,26.134,24.318,19.596,18.783,25.541,19.349,14.07,13.383,18.493
4.1156,NaN,1.7518,3.3469,4.2062,16.022,9.2104,7.8345,11.524,4.1515,7.8909,6.7416,10.288,12.989,10.472,10.733,7.788,7.7293,5.7305,12.019,9.6487,9.6637,10.988,9.6609,11.49,11.712,10.849,14.923,12.32,9.5088,9.9614,11.716,15.364,13.436,12.606,14.572,12.421,16.259,13.834,11.887,12.094,13.415,13.852,17.361,8.2213,11.899,12.375,10.196,9.1508,12.692,14.226,9.7638,8.704,11.916,14.965,14.425,14.564,17.943,15.461,14.979,13.889,15.858,16.266,15.498,19.255,14.996,14.014,18.339,17.666,19.339,18.878,13.202,11.852,11.802,8.6283,10.529,14.131,10.171,12.841,17.146,13.256,11.454,13.551,14.362,16.338,11.736,9.7623,8.0632,7.3795,5.4066,9.0942,10.728,11.835,17.375,13.062,13.705,10.871,9.5759,13.756,10.363,13.545,11.193,8.2552,7.7122,11.547,5.487,3.1744,1.5213,14.623,14.627,16.69,14.267,14.788,15.171,11.015,11.925,19.253,16.655,16.533,16.562,15.475,18.426,15.341,13.539,10.896,10.867,15.451,11.638,13.082,12.516,13.618,11.793,13.138,14.055,16.061,18.901,13.335,13.2,15.32,16.586,17.429,17.646,21.048,17.14,17.387,14.618,15.926,14.385,16.734,15.578,17.862,19.773,11.727,14.542,16.269,24.139,18.863,24.242,20.395,19.514,20.899,21.392,23.414,21.688,13.957,19.971,20.48,17.076,21.337,17.011,13.475,18.774,19.188,22.194,16.948,18.888,17.119,19.869,21.066,24.171,18.017,13.032,11.693,13.424,13.712,16.568,16.806,16.219,17.494,14.654,16.01,16.43,17.596,22.189,22.155,24.462,19.822,21.583,19.559,23.019,21.481,22.658,18.361,20.177,22.418,22.48,22.42,23.809,21.187,23.103,24.22,22.405,17.683,20.653,22.789,17.436,15.94,16.333,17.482
2.2391,1.3687,NaN,1.6919,4.6297,13.883,9.346,5.9581,9.6477,5.5202,9.2596,8.1102,11.656,10.458,13.458,10.186,7.2414,6.0503,5.1839,13.466,13.314,11.032,12.357,11.03,12.858,13.081,12.218,17.988,13.688,10.877,11.33,13.085,16.732,14.805,13.974,15.941,13.79,17.627,15.203,12.022,15.383,14.784,15.22,16.819,9.59,13.268,13.744,11.565,10.52,14.061,15.595,11.132,10.073,13.284,16.334,15.794,15.933,20.677,17.174,14.109,15.258,17.226,17.635,17.747,19.332,16.364,13.991,19.708,17.644,20.45,20.247,13.179,11.83,11.779,8.6057,13.313,14.876,13.5,13.592,15.491,11.123,11.432,14.069,13.654,14.767,12.636,12.342,14.196,10.821,8.8483,8.9928,10.627,11.734,13.434,16.51,14.287,11.239,9.9439,15.124,11.732,14.863,12.511,9.7258,9.0303,12.916,6.8557,4.5431,2.89,17.465,14.388,16.451,17.084,13.109,13.416,11.151,14.767,19.293,18.024,17.902,15.738,16.844,16.023,15.447,12.924,10.657,12.828,17.016,13.007,14.45,13.885,14.987,13.162,14.507,15.424,17.429,18.833,14.703,14.569,16.689,17.954,18.798,19.014,22.417,18.509,19.703,15.986,19.836,14.521,15.995,18.109,19.662,18.118,13.096,15.911,17.638,25.508,24.305,25.234,20.373,19.491,23.682,25.711,24.783,23.057,15.326,21.339,23.799,21.401,19.685,16.988,13.453,18.751,19.172,21.589,18.316,20.256,18.488,22.4,22.384,20.204,17.995,13.01,11.67,13.401,13.689,16.546,16.783,16.196,17.471,14.632,15.988,16.408,17.573,22.167,22.132,24.44,19.8,20.993,19.509,22.997,21.458,22.043,20.643,21.545,23.786,22.457,22.319,25.178,22.556,23.983,24.198,22.382,17.66,20.432,25.014,17.413,15.889,16.094,18.85
3.0775,2.2637,0.99181,NaN,4.037,12.287,7.7506,6.7965,10.486,8.2336,9.2295,10.824,14.37,9.5619,12.562,9.2897,6.345,8.478,4.2875,11.871,12.721,13.746,15.07,13.743,15.572,13.976,14.931,17.091,16.402,13.591,12.225,15.798,16.794,15.7,14.869,18.654,14.685,20.67,16.098,10.427,13.787,17.638,19.207,16.676,10.485,14.163,14.639,12.46,11.414,14.956,18.308,12.027,10.968,14.179,17.229,16.689,16.828,15.975,13.606,13.135,15.899,19.94,18.53,17.64,19.139,13.152,13.849,20.702,17.501,20.307,22.262,14.282,11.687,11.637,8.4629,14.006,12.532,9.6378,11.249,13.799,7.1108,11.289,10.204,9.316,10.52,8.3891,9.8843,13.19,9.5633,7.5904,8.8852,10.519,11.626,15.408,16.402,14.523,12.341,10.112,16.019,12.627,15.099,12.746,12.022,9.266,13.811,7.7507,5.4381,5.6034,15.869,13.492,16.658,15.489,15.537,11.821,9.5556,13.171,17.697,20.737,20.615,14.841,15.386,15.127,14.551,12.028,9.7608,11.232,15.421,15.637,17.164,16.598,17.7,18.264,19.451,18.137,20.143,17.936,17.417,15.464,17.584,20.668,21.511,19.909,25.097,21.222,18.807,16.881,18.241,12.925,14.4,16.514,18.066,19.529,13.991,16.806,18.533,28.221,24.162,25.091,20.23,19.348,23.539,25.569,25.132,23.148,16.221,22.234,23.656,21.294,19.542,16.845,13.31,18.608,19.029,21.447,23.27,22.97,19.383,20.805,23.088,20.061,17.852,12.867,11.527,13.258,13.547,16.403,16.641,16.054,17.329,14.489,15.845,16.265,17.431,22.024,21.989,24.297,19.657,20.85,18.612,22.854,21.316,21.147,19.746,21.543,23.543,22.315,22.211,27.891,25.269,23.841,24.055,22.24,17.518,20.29,24.871,17.27,14.993,15.198,18.148
5.4678,2.4221,3.2287,3.336,NaN,9.7132,6.848,9.1868,11.551,7.0183,5.1925,9.1636,11.567,6.68,7.5813,7.8447,4.4082,1.4206,3.4807,7.8132,8.6845,9.2344,7.8804,12.069,16.119,14.137,14.131,12.111,11.177,10.467,12.386,11.538,11.813,14.837,15.03,16.61,14.846,17.557,18.551,10.657,10.6,14.525,16.02,16.401,10.646,14.324,14.799,12.621,11.575,15.117,11,13.573,12.014,14.34,17.39,16.85,16.989,14.44,12.071,12.716,11.962,14.312,16.554,14.601,15.799,13.976,13.732,17.302,18.612,18.828,19.871,12.92,11.57,11.52,8.3463,11.169,12.76,8.7388,10.747,15.704,10.096,11.172,11.838,10.889,12.865,11.725,13.84,15.694,11.145,9.1718,10.491,12.125,13.232,15.526,12.52,13.061,12.487,10.438,16.18,12.788,17.93,13.23,10.902,10.134,13.972,7.9115,5.599,3.9434,10.908,8.3182,10.381,7.9582,8.4796,8.8625,7.4027,10.519,12.944,17.048,14.203,13.396,12.321,13.624,10.825,9.3398,4.587,4.5585,11.776,10.808,12.652,10.186,14.583,12.608,16.264,17.115,12.953,16.491,14.293,15.625,19.116,17.544,18.388,19.824,22.409,18.677,13.633,17.042,16.088,10.773,12.247,14.361,16.47,16.098,14.152,16.967,22.583,25.097,20.161,20.488,17.263,15.403,17.145,17.638,23.631,17.975,16.382,22.395,22.085,19.501,19.074,16.729,13.193,20.838,18.551,20.771,17.906,19.846,19.544,19.855,18.166,17.973,17.735,15.438,14.098,12.781,13.43,13.703,16.163,16.825,17.212,17.059,18.416,18.835,16.953,21.546,18.407,21.344,22.228,15.462,13.439,22.737,19.96,18.459,17.058,19.026,20.855,20.518,15.576,21.479,18.857,20.772,23.938,21.963,20.088,14.532,19.092,13.325,9.819,10.024,16.651
7.9873,13.251,11.494,10.599,8.726,NaN,1.9357,5.1488,6.6387,12.385,12.004,14.254,13.862,11.652,12.976,13.273,9.8024,6.3925,7.9994,4.9456,5.266,8.2516,11.674,9.8523,13.251,14.372,14.767,20.279,18.668,15.99,18.855,17.546,19.416,20.944,18.292,16.405,15.914,14.689,15.689,4.6119,7.7324,11.657,13.158,13.533,18.492,24.774,23.62,20.467,20.396,22.198,17.811,22.076,18.975,22.042,16.77,21.331,19.177,21.381,18.752,16.485,18.773,21.123,21.758,22.589,22.61,23.133,17.198,15.312,15.744,14.918,16.207,20.584,19.539,19.489,16.315,18.464,20.679,19.435,19.396,22.546,17.792,19.141,20.997,18.047,20.023,18.017,17.184,19.026,14.396,12.423,13.835,15.469,16.576,18.277,19.331,17.821,15.425,14.13,21.874,20.634,18.397,16.044,13.242,12.564,18.911,15.758,13.445,10.52,8.1626,5.7838,7.8467,5.4238,4.8115,3.108,2.3476,5.4644,9.3609,12.925,13.105,11.665,12.388,11.097,8.5202,7.2908,2.0527,2.8958,7.1362,7.4813,10.369,11.157,12.534,10.024,12,14.898,14.69,14.76,14.825,14.761,17.979,18.076,18.919,19.426,20.36,16.946,11.099,13.504,11.033,5.7175,7.1919,9.3056,10.858,12.321,16.602,16.799,17.988,25.629,17.627,17.953,14.728,12.868,14.61,15.104,17.424,15.44,19.403,15.351,18.08,18.069,18.376,19.092,16.067,18.425,17.795,17.187,18.438,20.378,14.634,13.597,16.538,16.31,15.41,13.82,12.48,17.12,12.069,16.261,19.011,14.628,12.05,15.441,16.797,17.217,17.657,19.323,18.031,15.874,17.419,12.928,10.904,14.182,17.911,16.41,15.009,15.443,18.806,17.983,13.041,19.389,17.237,20.775,18.572,17.724,13.951,11.998,16.558,10.79,7.2846,7.4896,10.44
6.0516,9.04,9.5587,8.6634,8.4618,4.5366,NaN,3.2131,4.703,12.121,11.74,12.558,12.166,11.388,15.349,11.435,9.5381,6.1282,7.9623,4.1199,5.8519,8.9379,14.271,8.1565,11.973,14.072,15.131,16.698,16.972,14.295,17.159,15.394,19.116,20.645,17.749,16.105,14.212,12.919,13.987,2.6762,6.0367,9.8874,11.456,11.304,16.556,23.078,22.745,18.531,19.521,20.502,17.547,20.38,17.039,20.251,18.133,20.788,21.491,19.152,20.442,18.175,19.365,21.782,20.062,20.654,22.515,21.437,14.97,12.951,14.918,13.731,14.512,18.356,18.172,19.454,16.051,19.687,20.415,18.301,19.132,21.546,15.774,18.877,18.867,17.783,21.166,16.081,15.248,16.797,12.46,10.487,11.899,13.533,14.64,16.341,19.417,15.885,13.489,12.194,21.318,18.698,16.461,14.109,11.307,10.628,16.975,13.822,11.509,8.584,8.1189,7.4742,8.9076,7.7382,6.5018,4.07,1.805,5.4207,9.9468,15.309,13.594,11.226,12.973,10.658,9.9289,6.852,3.743,3.4816,7.6704,8.0671,11.675,11.17,12.114,10.513,11.7,13.202,16.005,17.378,15.699,14.218,16.516,19.576,19.794,16.997,21.071,17.163,12.789,12.961,10.49,5.1749,6.6493,8.763,10.316,11.778,16.059,21.329,19.678,26.504,19.317,19.644,16.419,14.559,16.301,16.794,19.114,17.13,17.735,17.041,20.991,16.882,17.19,20.444,17.757,22.326,21.552,17.773,19.313,21.252,14.091,13.054,15.429,16.139,14.867,15.51,14.17,18.811,13.759,17.951,20.77,16.319,13.452,19.856,19.355,19.862,18.424,21.014,19.362,16.926,16.877,14.618,12.595,14.138,15.531,15.971,14.57,16.028,19.479,16.901,15.356,20.87,18.248,20.164,20.262,20.039,15.641,13.688,18.248,12.481,8.9749,9.1799,12.13
3.0149,6.0032,4.5099,6.0484,9.1396,6.0888,1.5522,NaN,2.123,8.1775,11.917,10.768,12.23,12.94,15.413,12.987,11.09,7.6804,9.5145,5.6721,7.4041,9.002,14.335,8.2207,12.037,14.354,15.195,16.762,17.036,14.359,14.727,15.458,19.399,20.927,18.274,16.387,14.277,12.983,14.052,4.4259,6.1009,9.9515,11.521,11.369,13.52,17.198,17.673,15.495,14.449,18.811,18.252,15.062,14.002,17.214,17.882,19.724,17.524,19.217,20.104,16.387,19.43,19.884,19.461,19.189,22.579,20.999,15.034,13.722,14.343,13.795,14.576,18.42,16.781,16.73,13.557,15.827,17.805,17.168,16.522,19.847,15.449,16.382,16.252,14.972,16.947,14.437,11.806,10.107,9.4234,7.4505,10.434,12.068,13.175,14.876,17.951,13.569,12.156,10.861,19.033,15.662,14.145,11.792,10.502,8.312,14.659,10.785,8.4727,5.5473,6.7885,9.0263,7.8845,7.3869,8.054,5.6221,2.3303,4.0903,11.499,15.373,13.088,12.779,14.814,12.21,11.481,8.4042,5.2951,5.0338,7.5169,9.6193,10.352,11.235,12.178,10.007,11.983,13.266,16.069,16.872,15.763,14.743,17.962,19.859,21.228,17.061,21.135,17.227,15.754,13.486,11.016,5.7002,7.1745,9.2883,10.841,12.16,16.584,21.393,21.23,26.568,22.281,22.608,17.971,16.111,19.265,19.759,22.079,20.095,19.385,18.593,21.055,16.946,20.588,24.58,21.524,23.739,21.617,19.325,19.377,21.317,15.746,13.58,14.827,14.949,15.248,18.034,15.726,18.352,16.725,19.504,20.419,17.325,13.977,18.183,19.003,18.073,17.094,21.759,18.031,15.596,17.258,15.064,13.04,12.808,14.2,16.423,16.123,17.581,18.972,16.054,14.509,20.364,17.742,19.657,23.31,19.192,16.107,14.154,19.8,14.033,10.527,9.6638,11.887
6.403,9.3914,7.898,9.4365,11.202,7.2772,2.7406,1.8215,NaN,11.566,10.783,9.1017,8.7092,12.458,11.892,12.551,12.279,8.8688,10.703,3.0762,5.8007,5.4813,10.814,4.6999,8.5159,10.615,11.674,13.241,13.515,10.838,13.703,11.937,15.66,17.188,19.169,12.648,10.756,9.4627,10.531,0.90513,2.5801,6.4308,7.9999,7.8479,16.908,19.622,19.288,18.883,16.064,17.045,17.255,16.923,17.39,20.602,14.677,18.464,20.912,15.696,15.747,13.48,15.909,18.325,16.606,17.985,19.058,17.98,11.513,10.202,10.823,10.275,11.055,14.899,14.715,15.998,16.945,19.215,21.193,20.556,19.91,23.235,18.837,19.771,17.924,18.36,20.336,17.826,15.194,13.34,12.812,10.839,14.64,16.274,17.381,16.462,15.422,16.957,16.23,14.935,22.421,19.05,17.533,15.18,13.89,11.7,18.047,14.173,11.861,8.9354,9.6959,10.215,10.792,10.479,9.2424,6.8105,4.5455,6.9977,12.687,11.853,10.138,12.38,11.293,11.639,9.9732,7.8336,6.4835,6.2222,7.2009,7.456,8.218,7.7139,8.6569,7.0564,8.2439,9.7453,12.548,13.922,12.243,14.597,13.06,16.119,16.337,13.54,17.614,13.706,12.65,14.428,12.891,6.2801,7.2206,10.683,10.887,11.125,15.296,17.872,20.533,23.047,19.178,19.505,16.55,18.647,16.162,16.655,17.019,16.992,14.278,19.682,17.535,13.426,13.733,16.988,15.433,18.87,18.096,17.037,15.856,17.796,13.862,14.975,13.713,13.914,14.214,18.25,16.911,19.281,16.499,20.692,20.802,20.233,16.193,21.09,22.095,20.98,20.001,24.666,20.939,18.503,16.223,17.971,15.947,15.715,17.108,15.659,15.771,15.292,16.022,18.706,17.416,17.414,14.792,16.707,20.606,21.16,19.014,17.061,19.139,15.221,11.715,12.571,12.83
4.5616,2.4232,4.175,7.5885,7.0742,13.428,10.563,8.2805,11.97,NaN,2.773,4.46,8.0061,7.9964,5.3536,7.8797,7.0787,5.1355,6.9696,8.2878,5.4973,5.9008,6.0852,7.3793,9.2082,12.059,8.5676,9.8831,10.038,7.2272,10.308,9.4344,13.082,15.697,13.898,12.291,11.885,14.166,15.16,11.254,8.179,11.134,13.599,13.51,7.6847,11.363,11.838,9.66,8.6143,12.504,9.1329,9.2273,10.258,11.379,14.429,13.889,14.028,14.857,14.925,12.039,9.5424,11.892,14.065,11.987,12.728,11.957,11.921,14.115,15.982,15.937,15.115,11.108,9.7592,9.7089,6.5352,9.9925,13.594,10.27,12.415,18.213,11.494,9.361,10.026,13.735,17.097,12.636,9.122,7.4229,6.7392,4.7663,8.4539,10.088,11.195,14.117,9.9056,11.285,12.369,11.486,11.186,11.678,12.992,9.9424,7.6149,6.8401,11.011,4.9505,2.6379,0.88099,14.623,13.589,14.096,11.673,12.194,12.577,11.118,14.234,13.225,12.892,12.77,12.799,11.712,14.663,10.645,10.945,8.3019,8.3999,8.5887,7.6204,9.3188,8.7533,11.336,9.5119,10.857,11.774,11.158,15.894,11.053,12.664,14.797,14.304,15.148,16.584,18.766,14.858,15.106,14.081,15.023,12.421,10.992,13.296,15.266,12.911,11.191,14.006,19.343,21.857,21.633,21.96,19.365,17.42,18.617,19.111,19.651,19.447,13.421,19.434,18.318,16.54,17.614,14.918,11.382,16.681,16.906,19.913,14.666,16.606,16.583,16.668,16.347,17.226,15.924,10.939,9.5995,11.331,11.619,14.475,14.713,14.126,15.401,12.561,13.917,14.337,15.503,20.096,20.062,22.369,17.729,17.565,15.541,20.926,19.388,18.291,16.079,17.925,18.655,21.339,18.993,20.046,17.424,19.34,22.127,20.312,15.59,16.635,22.943,15.342,11.922,14.041,13.463
